,org_pin,dst_pin,po_del,len,wid,dep,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,org_state,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,dst_state,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
427,761031,521340,1,55.0,45.0,41.0,20295,24963,16831,PREMIUM,5 Day/s,9625,18,9625,1468,24963,ODISHA,19.63452825,85.0031835,0,0,True,ANDHRAPRADESH,16.58,81.29,0,0,True
428,134003,686020,1,17.7,10.1,10.1,361,815,13457,PREMIUM,4 Day/s,625,18,625,95,815,HARYANA,30.38258335,76.77158335,0,0,False,KERALA,9.5693,76.5263,0,0,True
429,134003,761126,0,68.58,33.02,35.56,16105,10226,18848,PREMIUM,5 Day/s,6545,18,6545,998,16106,HARYANA,30.38258335,76.77158335,0,0,False,ODISHA,19.947172,84.5791616,0,0,False
430,627861,761126,1,34.0,33.0,35.0,7854,4516,24137,PREMIUM,6 Day/s,4055,18,4055,619,7854,TAMILNADU,8.92015,77.42175,1,0,True,ODISHA,19.947172,84.5791616,0,0,False
431,627861,761126,1,34.0,33.0,35.0,7854,8287,21267,PREMIUM,6 Day/s,4300,18,4300,656,8287,TAMILNADU,8.92015,77.42175,1,0,True,ODISHA,19.947172,84.5791616,0,0,False
432,134003,770002,1,21.0,10.1,15.5,657,249,13941,PREMIUM,9 Day/s,625,18,625,95,658,HARYANA,30.38258335,76.77158335,0,0,False,ODISHA,22.14932,83.9866083,0,0,True
433,134003,475110,1,34.0,33.0,6.0,1347,515,17599,PREMIUM,4 Day/s,870,18,870,133,1347,HARYANA,30.38258335,76.77158335,0,0,False,MADHYAPRADESH,25.901392,78.19919,0,0,True
434,134003,475110,1,34.0,33.0,6.0,1347,850,4641,PREMIUM,4 Day/s,870,18,870,133,1347,HARYANA,30.38258335,76.77158335,0,0,False,MADHYAPRADESH,25.901392,78.19919,0,0,True
435,134003,574240,0,21.0,10.1,15.5,657,1101,3067,PREMIUM,5 Day/s,870,18,870,133,1101,HARYANA,30.38258335,76.77158335,0,0,False,KARNATAKA,12.9959838,75.330166,1,0,False
436,680711,574240,0,22.86,15.24,7.62,530,1566,9562,PREMIUM,4 Day/s,695,19,695,111,1566,KERALA,10.40420835,76.20997220000001,0,0,False,KARNATAKA,12.9959838,75.330166,1,0,False
437,680711,574240,0,22.86,15.24,7.62,530,378,16028,PREMIUM,4 Day/s,435,19,435,69,531,KERALA,10.40420835,76.20997220000001,0,0,False,KARNATAKA,12.9959838,75.330166,1,0,False
438,134003,673011,0,41.7,35.9,36.9,11048,13287,11309,PREMIUM,2 Day/s,5390,18,5390,822,13287,HARYANA,30.38258335,76.77158335,0,0,False,KERALA,11.275,75.78999999999999,0,0,False
439,134003,180005,0,17.7,10.1,10.1,361,640,3537,PREMIUM,2 Day/s,435,18,435,66,640,HARYANA,30.38258335,76.77158335,0,0,False,JAMMUANDKASHMIR,32.744988,74.850679,0,1,False
440,134003,180005,0,17.7,10.1,10.1,361,640,15261,PREMIUM,2 Day/s,435,18,435,66,640,HARYANA,30.38258335,76.77158335,0,0,False,JAMMUANDKASHMIR,32.744988,74.850679,0,1,False
441,176310,180005,0,21.7,11.5,6.6,329,67,10957,PREMIUM,3 Day/s,305,18,305,47,330,HIMACHALPRADESH,32.557666499999996,76.12453049999999,0,0,False,JAMMUANDKASHMIR,32.744988,74.850679,0,1,False
442,305408,180005,1,34.0,33.0,6.0,1347,1435,23707,PREMIUM,2 Day/s,565,18,565,86,1435,RAJASTHAN,25.9924,75.02,0,0,True,JAMMUANDKASHMIR,32.744988,74.850679,0,1,False
443,134003,642006,1,17.7,10.1,10.1,361,887,14672,PREMIUM,5 Day/s,625,18,625,95,887,HARYANA,30.38258335,76.77158335,0,0,False,TAMILNADU,10.9997222,76.9637222,1,0,True
444,134003,680619,1,22.86,15.24,7.62,530,1053,17361,PREMIUM,4 Day/s,870,18,870,133,1053,HARYANA,30.38258335,76.77158335,0,0,False,KERALA,10.48523415,76.0717827,0,0,True
445,134003,680619,1,22.86,15.24,7.62,530,477,9538,PREMIUM,4 Day/s,625,18,625,95,531,HARYANA,30.38258335,76.77158335,0,0,False,KERALA,10.48523415,76.0717827,0,0,True
446,444108,680619,1,15.16,15.16,7.0,321,609,4820,PREMIUM,6 Day/s,625,18,625,95,609,MAHARASHTRA,20.98,76.87,1,0,True,KERALA,10.48523415,76.0717827,0,0,True
