,org_pin,dst_pin,po_del,len,wid,dep,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,min_price,eddDays,org_state,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,dst_state,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
7377,560085,575019,0,55.0,45.0,41.0,20295,26121,23455,GROUND EXPRESS,3 - 4 Day/s,1755,18,1755,268,26121,1755,4,KARNATAKA,12.9319519,77.5425557,1,0,False,KARNATAKA,12.96506475,74.81388849999999,1,0,False
7378,570028,563119,1,68.58,33.02,35.56,16105,14107,18013,GROUND EXPRESS,3 - 4 Day/s,1105,18,1105,169,16953,1105,4,KARNATAKA,12.29936111,76.70113889,1,0,True,KARNATAKA,12.9259444,78.2660278,1,0,True
7379,560071,563119,1,21.0,10.1,15.5,657,457,15322,STD EXP-A,2 - 3 Day/s,150,18,150,23,658,150,3,KARNATAKA,12.1669167,77.1099722,1,0,True,KARNATAKA,12.9259444,78.2660278,1,0,True
7380,591126,563119,0,33.7,32.2,18.0,3900,4290,4913,GROUND EXPRESS,3 - 4 Day/s,325,18,325,50,4290,325,4,KARNATAKA,15.77,75.12,1,0,False,KARNATAKA,12.9259444,78.2660278,1,0,True
7381,570028,581411,1,34.0,33.0,35.0,7854,6399,18807,PREMIUM,3 Day/s,1495,18,1495,228,7854,1495,3,KARNATAKA,12.29936111,76.70113889,1,0,True,KARNATAKA,15.42,75.63,1,0,True
7382,570028,581411,1,34.0,33.0,35.0,7854,1552,18819,PREMIUM,3 Day/s,1495,18,1495,228,7854,1495,3,KARNATAKA,12.29936111,76.70113889,1,0,True,KARNATAKA,15.42,75.63,1,0,True
7383,242001,635802,0,55.0,45.0,41.0,20295,17594,18081,GROUND EXPRESS,7 - 8 Day/s,2750,18,2750,419,21364,2750,8,UTTARPRADESH,27.8837,79.9122,0,0,False,TAMILNADU,12.7858245,78.7185915,1,0,False
7384,242001,382130,0,21.0,10.1,15.5,657,1,4187,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7385,242001,382130,0,21.0,10.1,15.5,657,2,10417,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7386,242001,382130,0,21.0,10.1,15.5,657,3,6884,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7387,242001,382130,0,21.0,10.1,15.5,657,4,15268,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
