,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude,LatitudeNum,Latitide_upt,Latitide_diff
47019,Punjab Circle,DivReportingCircle,Sangrur Division,Roorkee Kalan BO,148023,BO,Delivery,MALERKOTLA,PUNJAB,30.5638230,76.0145290,30.563823,15.383333,15.180489999999999
47020,Punjab Circle,DivReportingCircle,Sangrur Division,Saraud BO,148023,BO,Delivery,MALERKOTLA,PUNJAB,30.5667970,75.9129350,30.566797,15.383333,15.183464
47073,Jharkhand Circle,DivReportingCircle,Ranchi Division,Nibaranpur BO,834002,BO,Non Delivery,RANCHI,JHARKHAND,85.3257373,23.3479861,85.3257373,23.348982,61.9767553
47327,Bihar Circle,DivReportingCircle,Vaishali Division,Gorigama BO,844507,BO,Delivery,VAISHALI,BIHAR,85.5047120,25.6545100,85.504712,25.65451,59.850201999999996
47332,Bihar Circle,DivReportingCircle,Vaishali Division,Malpur BO,843110,BO,Delivery,VAISHALI,BIHAR,25.8572640,85.5586570,25.857264,85.558657,-59.701392999999996
47333,Bihar Circle,DivReportingCircle,Vaishali Division,Marui BO,843110,BO,Delivery,VAISHALI,BIHAR,25.8572640,85.5586570,25.857264,85.558657,-59.701392999999996
47443,Bihar Circle,DivReportingCircle,Vaishali Division,Khopi BO,844507,BO,Delivery,VAISHALI,BIHAR,85.5047120,25.6545100,85.504712,25.65451,59.850201999999996
47444,Bihar Circle,DivReportingCircle,Vaishali Division,Parmanandpur BO,844507,BO,Delivery,VAISHALI,BIHAR,85.5047120,25.6545100,85.504712,25.65451,59.850201999999996
47445,Bihar Circle,DivReportingCircle,Vaishali Division,Rampur Kumaharkol BO,844507,BO,Delivery,VAISHALI,BIHAR,85.5047120,25.6545100,85.504712,25.65451,59.850201999999996
47447,Bihar Circle,DivReportingCircle,Vaishali Division,Sultanpur BO,844506,BO,Delivery,VAISHALI,BIHAR,25.6141800,85.4942190,25.61418,85.494219,-59.880039
47448,Bihar Circle,DivReportingCircle,Vaishali Division,Bakhri Dua BO,844122,BO,Delivery,VAISHALI,BIHAR,25.8266720,85.3914590,25.826672,85.391459,-59.564786999999995
47449,Bihar Circle,DivReportingCircle,Vaishali Division,Chaksaid BO,844122,BO,Delivery,VAISHALI,BIHAR,25.8266720,85.3914590,25.826672,85.391459,-59.564786999999995
47450,Bihar Circle,DivReportingCircle,Vaishali Division,Chehrakala BO,844122,BO,Delivery,VAISHALI,BIHAR,25.8266720,85.3914590,25.826672,85.391459,-59.564786999999995
47488,Himachal Pradesh Circle,DivReportingCircle,Solan Division,Mangoo BO,171102,BO,Delivery,SOLAN,HIMACHAL PRADESH,77.0967360,30.9044860,77.096736,30.904486,46.19225000000001
47490,Himachal Pradesh Circle,DivReportingCircle,Solan Division,Mandodhar BO,173209,BO,Delivery,SOLAN,HIMACHAL PRADESH,77.0967360,30.9044860,77.096736,30.904486,46.19225000000001
48022,Gujarat Circle,Vadodara Region,Panchmahals Division,Chenpur BO,389380,BO,Delivery,DOHAD,GUJARAT,96.8728394,73.8586900,96.8728394,22.6535494,74.21929
